"","SiteCode","Year","Month","Highest_Temperature_C","Lowest_Temperature_C","AvgMin","AvgMax","Avg_YM_TempC","PropLogL3","PropLogL5","PropLogL4.5","PropLogG20","PropLogG24"
"211","Painter.LittleBear","2020","11",11.334,4.311,6.8289,8.2454,7.50973854166667,0,0.0211805555555556,0.009375,0,0
"212","Red.LittleBear","2020","11",11.528,3.367,6.24026666666667,7.45633333333333,6.83871666666667,0,0.0760416666666667,0.0541666666666667,0,0
"213","Sand.Mill","2020","11",12.013,3.155,6.16586666666667,7.50476666666667,6.83435416666667,0,0.0986111111111111,0.0663194444444444,0,0
"214","SandSpring.LittleBear","2020","11",11.431,3.683,6.65996666666667,7.82513333333333,7.22976111111111,0,0.06875,0.0444444444444444,0,0
"215","SandSpring.LittleBear","2021","11",10.553,5.655,7.81206666666667,8.60006666666667,8.22891909722222,0,0,0,0,0
"216","Sherman.Loyalsock","2020","11",12.304,1.764,5.25786666666667,7.39796666666667,6.25775034722222,0.0336805555555556,0.252083333333333,0.144791666666667,0,0
"217","Sherman.Loyalsock","2021","11",10.651,2.195,5.1545,6.57403333333333,5.85219340277778,0.101041666666667,0.339930555555556,0.245138888888889,0,0
"218","Shingle.Bear","2020","11",10.651,2.837,5.80413333333333,7.04156666666667,6.44156701388889,0.00833333333333333,0.096875,0.0770833333333333,0,0
"219","Streby.Lick","2020","11",10.944,1.548,4.89866666666667,6.66846666666667,5.773909375,0.0319444444444444,0.353472222222222,0.205208333333333,0,0
"220","Streby.Lick","2021","11",10.455,1.221,4.62273333333333,6.14323333333333,5.42911493055556,0.192708333333333,0.402430555555556,0.306597222222222,0,0
"221","Yellow.LittleLoyalsock","2020","11",12.497,1.656,5.45313333333333,7.2863,6.41030486111111,0.028125,0.230555555555556,0.151736111111111,0,0
"222","Bear.Loyalsock","2020","12",7.28,0.01,1.89183870967742,3.05458064516129,2.50495329301075,0.679099462365591,0.93010752688172,0.859879032258065,0,0
"223","Brunnerdale.Ogdonia","2020","12",8.082,0.121,2.7311935483871,3.85429032258065,3.30117909946237,0.476478494623656,0.817204301075269,0.76008064516129,0,0
"224","Dry.Hoagland","2017","12",5.962,0.232,1.71674193548387,2.44274193548387,2.06563844086021,0.755712365591398,0.971774193548387,0.928427419354839,0,0
"225","Dry.Hoagland","2020","12",7.882,0.01,2.76148387096774,3.90087096774194,3.36965860215054,0.450940860215054,0.800739247311828,0.72244623655914,0,0
"226","Dutchman.Loyalsock","2020","12",7.28,0.01,2.73129032258065,3.71083870967742,3.24788440860215,0.446908602150538,0.879704301075269,0.786626344086022,0,0
"227","Ellis.Loyalsock","2020","12",7.582,0.121,2.13206451612903,3.46393548387097,2.81516297043011,0.617271505376344,0.881384408602151,0.828629032258065,0,0
"228","Fall.Hoagland","2020","12",6.978,-4.393,0.550645161290323,1.81541935483871,1.20160483870968,0.783938172043011,0.975806451612903,0.955645161290323,0,0
"229","Grandad.Hessler","2020","12",7.079,0.121,3.64574193548387,4.608,4.18222345430108,0.195228494623656,0.622647849462366,0.505040322580645,0,0
"230","Level.Lick","2020","12",6.166,0.121,1.54635483870968,2.47696774193548,2.01832258064516,0.731854838709677,0.974462365591398,0.967069892473118,0,0
"231","Painter.LittleBear","2020","12",7.582,0.121,3.78135483870968,4.77461290322581,4.2714751344086,0.194556451612903,0.572916666666667,0.491935483870968,0,0
"232","Red.LittleBear","2020","12",7.782,0.121,3.79283870967742,4.79361290322581,4.34501948924731,0.155577956989247,0.658602150537634,0.465389784946237,0,0
"233","Sand.Mill","2020","12",7.079,0.121,2.3448064516129,3.18583870967742,2.77988440860215,0.64247311827957,0.932795698924731,0.843077956989247,0,0
"234","SandSpring.LittleBear","2020","12",8.182,0.121,4.90809677419355,5.9021935483871,5.48067775537634,0.0426747311827957,0.268481182795699,0.17741935483871,0,0
"235","Sherman.Loyalsock","2020","12",7.179,0.232,1.95361290322581,3.09690322580645,2.52157963709677,0.672379032258065,0.941532258064516,0.860887096774194,0,0
"236","Shingle.Bear","2020","12",7.079,0.121,3.11058064516129,4.04432258064516,3.58284274193548,0.326612903225806,0.810483870967742,0.63877688172043,0,0
"237","Streby.Lick","2020","12",6.573,0.121,1.66858064516129,2.67974193548387,2.1992940188172,0.723454301075269,0.972782258064516,0.941868279569892,0,0
"238","Yellow.LittleLoyalsock","2020","12",7.079,-3.079,1.26567741935484,2.63187096774194,2.00528293010753,0.724462365591398,0.952284946236559,0.886424731182796,0,0
